name_pt,category_pt,energy_kcal_100g,energy_kj_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g,sugars_100g,sodium_mg_100g,glycemic_index
"Arroz, integral, cozido",,123.53489250000001,516.8699902200001,,,,,,,
"Arroz, integral, cru",,359.6780020326088,1504.892760504435,,,,,,,
"Arroz, tipo 1, cozido",,128.25848566666664,536.6335040293333,,,,,,,
"Arroz, tipo 1, cru",,357.789273115942,1496.9903187171014,,,,,,,
"Arroz, tipo 2, cozido",,130.11964833333332,544.4206086266666,,,,,,,
"Arroz, tipo 2, cru",,358.1167614565217,1498.360529934087,,,,,,,
"Aveia, flocos, crua",,393.82268944927546,1647.7541326557687,,,,,,,
"Biscoito, doce, maisena",,442.8193901449275,1852.756328366377,,,,,,,
"Biscoito, doce, recheado com chocolate",,471.824779710145,1974.1148783072467,,,,,,,
"Biscoito, doce, recheado com morango",,471.1747362318841,1971.3950963942032,,,,,,,
"Biscoito, doce, wafer, recheado de chocolate",,502.4568579710144,2102.279493750724,,,,,,,
"Biscoito, doce, wafer, recheado de morango",,513.4461826086956,2148.2588280347827,,,,,,,
"Biscoito, salgado, cream cracker",,431.73228115942027,1806.3678643710145,,,,,,,
"Bolo, mistura para",,418.6333333333333,1751.5618666666667,,,,,,,
"Bolo, pronto, aipim",,323.85166666666663,1354.9953733333332,,,,,,,
"Bolo, pronto, chocolate",,410.01366666666667,1715.4971813333334,,,,,,,
"Bolo, pronto, coco",,333.4376666666667,1395.1031973333336,,,,,,,
"Bolo, pronto, milho",,311.387,1302.843208,,,,,,,
"Canjica, branca, crua",,357.60258999999996,1496.20923656,,,,,,,
"Canjica, com leite integral",,112.45677722046528,470.51915589042676,,,,,,,
"Cereais, milho, flocos, com sal",,369.59975000000003,1546.4053540000002,,,,,,,
"Cereais, milho, flocos, sem sal",,363.3383166666666,1520.2075169333332,,,,,,,
"Cereais, mingau, milho, infantil",,394.42752173913044,1650.2847509565217,,,,,,,
"Cereais, mistura para vitamina, trigo, cevada e aveia",,381.1333333333333,1594.6618666666668,,,,,,,
"Cereal matinal, milho",,365.354163768116,1528.6418212057974,,,,,,,
"Cereal matinal, milho, açúcar",,376.55525362318843,1575.5071811594205,,,,,,,
"Creme de arroz, pó",,386.00119033639794,1615.028980367489,,,,,,,
"Creme de milho, pó",,333.03419267054403,1393.4150621335564,,,,,,,
"Curau, milho verde",,78.43381831365585,328.16709582433606,,,,,,,
"Curau, milho verde, mistura para",,402.28657743531465,1683.1670399893567,,,,,,,
"Farinha, de arroz, enriquecida",,363.0564801812235,1519.028313078239,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Farinha, de centeio, integral",,335.77766279932655,1404.8937411523823,,,,,,,
"Farinha, de milho, amarela",,350.58693322738014,1466.8557286233586,,,,,,,
"Farinha, de rosca",,370.5780966666666,1550.4987564533333,,,,,,,
"Farinha, de trigo",,360.4729785507247,1508.2189422562321,,,,,,,
"Farinha, láctea, de cereais",,414.8505173913043,1735.7345647652173,,,,,,,
"Lasanha, massa fresca, cozida",,163.76366666666667,685.1871813333333,,,,,,,
"Lasanha, massa fresca, crua",,220.3056666666667,921.7589093333335,,,,,,,
"Macarrão, instantâneo",,435.8647805333334,1823.658241751467,,,,,,,
"Macarrão, trigo, cru",,371.1226130434783,1552.777012973913,,,,,,,
"Macarrão, trigo, cru, com ovos",,370.5671133333334,1550.452802186667,,,,,,,
"Milho, amido, cru",,361.36682387826096,1511.958791106644,,,,,,,
"Milho, fubá, cru",,353.482268115942,1478.9698097971016,,,,,,,
"Milho, verde, cru",,138.166565,578.08890796,,,,,,,
"Milho, verde, enlatado, drenado",,97.56489420289851,408.2115173449274,,,,,,,
"Mingau tradicional, pó",,373.4214666666667,1562.3954165333334,,,,,,,
"Pamonha, barra para cozimento, pré-cozida",,171.2191116666667,716.3807632133335,,,,,,,
"Pão, aveia, forma",,343.0853666666667,1435.4691741333336,,,,,,,
"Pão, de soja",,308.7263233333333,1291.7109368266667,,,,,,,
"Pão, glúten, forma",,252.99402999999998,1058.52702152,,,,,,,
"Pão, milho, forma",,292.01349,1221.78444216,,,,,,,
"Pão, trigo, forma, integral",,253.19361833333332,1059.3620991066666,,,,,,,
"Pão, trigo, francês",,299.8101504347826,1254.4056694191304,,,,,,,
"Pão, trigo, sovado",,310.96494,1301.0773089600002,,,,,,,
"Pastel, de carne, cru",,288.70207151598953,1207.9294672229003,,,,,,,
"Pastel, de carne, frito",,388.37465162496756,1624.9595423988644,,,,,,,
"Pastel, de queijo, cru",,308.4744338873742,1290.6570313847735,,,,,,,
"Pastel, de queijo, frito",,422.11208003931927,1766.116942884512,,,,,,,
"Pastel, massa, crua",,310.2025143333333,1297.8873199706666,,,,,,,
"Pastel, massa, frita",,569.6724593333333,2383.5095698506666,,,,,,,
"Pipoca, com óleo de soja, sem sal",,448.334261847198,1875.8305515686764,,,,,,,
"Polenta, pré-cozida",,102.74116666666669,429.8690413333334,,,,,,,
"Torrada, pão francês",,377.422283,1579.134832072,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Abóbora, cabotian, cozida",,48.04374250000001,201.01501862000003,,,,,,,
"Abóbora, cabotian, crua",,38.59929420289856,161.4994469449276,,,,,,,
"Abóbora, menina brasileira, crua",,13.605673913043486,56.926139652173944,,,,,,,
"Abóbora, moranga, crua",,12.364436231884042,51.732801194202835,,,,,,,
"Abóbora, moranga, refogada",,29.003822031756222,121.35199138086804,,,,,,,
"Abóbora, pescoço, crua",,24.466267949700352,102.36686510154628,,,,,,,
"Abobrinha, italiana, cozida",,15.038520000000023,62.9211676800001,,,,,,,
"Abobrinha, italiana, crua",,19.279126086956484,80.66386354782594,,,,,,,
"Abobrinha, italiana, refogada",,24.42960218765336,102.21345555314166,,,,,,,
"Abobrinha, paulista, crua",,30.810702228816336,128.91197812536754,,,,,,,
"Acelga, crua",,20.942342499999942,87.62276101999976,,,,,,,
"Agrião, cru",,16.578801449275325,69.36570526376796,,,,,,,
"Aipo, cru",,19.09145664497062,79.87865460255708,,,,,,,
"Alface, americana, crua",,8.794903236866052,36.79787514304756,,,,,,,
"Alface, crespa, crua",,10.68085652173921,44.688703686956856,,,,,,,
"Alface, lisa, crua",,13.820901449275343,57.82665166376804,,,,,,,
"Alface, roxa, crua",,12.716997363467993,53.207916968750084,,,,,,,
"Alfavaca, crua",,29.183613081057864,122.1042371311461,,,,,,,
"Alho, cru",,113.12987826086957,473.3354106434783,,,,,,,
"Alho-poró, cru",,31.5079193532467,131.8291345739842,,,,,,,
"Almeirão, cru",,18.034428985507237,75.45605087536228,,,,,,,
"Almeirão, refogado",,65.08191082886853,272.30271490798594,,,,,,,
"Batata, baroa, cozida",,80.11976250000004,335.22108630000014,,,,,,,
"Batata, baroa, crua",,100.98492318840582,422.52091862028993,,,,,,,
"Batata, doce, cozida",,76.75961050343517,321.1622103463728,,,,,,,
"Batata, doce, crua",,118.24137536231882,494.721914515942,,,,,,,
"Batata, frita, tipo chips, industrializada",,542.7346733841896,2270.8018734394495,,,,,,,
"Batata, inglesa, cozida",,51.588476636270656,215.84618624615644,,,,,,,
"Batata, inglesa, crua",,64.3702260869565,269.325025947826,,,,,,,
"Batata, inglesa, frita",,267.15742250204084,1117.786655748539,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Batata, inglesa, sauté",,67.88793615063032,284.0431248542373,,,,,,,
"Berinjela, cozida",,18.845285556813074,78.84867476970591,,,,,,,
